,Movie,Director,Running time,Actor 1,Genre,Budget,Box Office,Earnings,Oscar and Golden Globes awards,Release year,IMDb score
130,Bruce Almighty,Tom Shadyac,101,Morgan Freeman,Comedy,81000000,484000000,403000000,0.0,2003,6.7
131,Brüno,Larry Charles,81,Bono,Comedy,42000000,138000000,96000000,0.0,2009,5.8
132,Bullet to the Head,Walter Hill,92,Sylvester Stallone,Action,55000000,48000000,-7000000,0.0,2012,5.7
133,Bulletproof Monk,Paul Hunter,104,Jaime King,Action,52000000,37700000,-14300000,0.0,2003,5.5
134,Burlesque,Steve Antin,119,Eric Dane,Drama,55000000,89700000,34700000,0.0,2010,6.4
135,Burn,Tom Putnam,86,Brendan Doogie Milewski,Documentary,225000,1000000,775000,0.0,2012,7.5
136,By the Sea,Angelina Jolie,122,Brad Pitt,Drama,10000000,3000000,-7000000,0.0,2015,5.3
137,Captain Corelli's Mandolin,John Madden,131,Christian Bale,Drama,57000000,60000000,3000000,0.0,2001,5.9
138,Carrie,Kimberly Peirce,100,Chloë Grace Moretz,Drama,30000000,84000000,54000000,0.0,2013,5.9
139,Cars 2,John Lasseter,106,Joe Mantegna,Animation,200000000,549000000,349000000,0.0,2011,6.3
140,Catch That Kid,Bart Freundlich,91,Kristen Stewart,Comedy,18000000,17000000,-1000000,0.0,2004,5.2
141,Cats & Dogs,Lawrence Guterman,87,Carol Ann Susi,Action,60000000,203000000,143000000,0.0,2001,5.2
142,Cats & Dogs: The Revenge of Kitty Galore,Brad Peyton,82,Jack McBrayer,Action,85000000,112000000,27000000,0.0,2010,4.3
143,Catwoman,Pitof,87,Frances Conroy,Action,100000000,82000000,-18000000,0.0,2004,3.3
144,Cellular,David R. Ellis,94,Richard Burgi,Action,25000000,32000000,7000000,0.0,2004,6.5
145,Central Intelligence,Rawson Marshall Thurber,107,Dwayne Johnson,Action,50000000,217000000,167000000,0.0,2016,6.6
146,Changing Lanes,Roger Michell,91,Sydney Pollack,Thriller,45000000,94500000,49500000,0.0,2002,6.5
147,Chappie,Neill Blomkamp,120,Hugh Jackman,Action,49000000,102000000,53000000,0.0,2015,6.9
148,Charlie St. Cloud,Burr Steers,99,Augustus Prew,Drama,44000000,44000000,0,0.0,2010,6.5
149,Charlie's Angels,McG,94,Bill Murray,Action,92000000,264000000,172000000,0.0,2000,5.5
150,Cheaper by the Dozen 2,Adam Shankman,94,Taylor Lautner,Adventure,60000000,130000000,70000000,0.0,2005,5.4
151,Cheaper by the Dozen,Shawn Levy,94,Tom Welling,Comedy,40000000,190000000,150000000,0.0,2003,5.8
152,Chicken Little,Mark Dindal,81,Catherine O'Hara,Animation,150000000,315000000,165000000,0.0,2005,5.8
153,Child 44,Daniel Espinosa,137,Tom Hardy,Crime,50000000,13900000,-36100000,0.0,2015,6.4
154,Chloe,Atom Egoyan,96,Liam Neeson,Drama,11000000,14000000,3000000,0.0,2009,6.3
155,Christmas with the Kranks,Joe Roth,99,Jamie Lee Curtis,Comedy,60000000,147000000,87000000,0.0,2004,5.2
156,Cirque du Freak: The Vampire's Assistant,Paul Weitz,109,Josh Hutcherson,Action,40000000,39000000,-1000000,0.0,2009,5.9
157,City by the Sea,Michael Caton-Jones,108,Robert De Niro,Crime,60000000,29000000,-31000000,0.0,2002,6.2
158,Clash of the Titans,Louis Leterrier,106,Liam Neeson,Action,125000000,493000000,368000000,0.0,2010,5.8
159,Click,Frank Coraci,107,Adam Sandler,Comedy,70000000,237000000,167000000,0.0,2006,6.4
160,Cloud Atlas,Tom Tykwer,172,Tom Hanks,Sci-Fi,102000000,130000000,28000000,0.0,2012,7.5
161,Cloudy with a Chance of Meatballs 2,Cody Cameron,95,Will Forte,Animation,78000000,274000000,196000000,0.0,2013,6.5
162,Coach Carter,Thomas Carter,136,Channing Tatum,Drama,30000000,76700000,46700000,0.0,2005,7.2
163,Collateral Damage,Andrew Davis,108,Raymond Cruz,Action,85000000,78000000,-7000000,0.0,2002,5.5
164,Collateral,Michael Mann,120,Tom Cruise,Crime,65000000,100000000,35000000,0.0,2004,7.6
165,Colombiana,Olivier Megaton,112,Jordi MollÃ ,Action,40000000,61000000,21000000,0.0,2011,6.4
